"regime","tasks","algo","repeat","makespanAnalytic","makespanSim","doi","utilization","bestFitness","schedulerMs"
"large","700","IWHOLF","0","257.19699999999995","3.0744574310016666E10","1.32403375087166","0.5603964179208935","154.5602431203752","1740"
"large","700","WHO","0","264.9223333333333","3.0744574310016666E10","1.3803856535321222","0.5475715366893693","159.20339066800085","889"
"large","700","WOA","0","322.8538","3.0744574310016666E10","1.9218579617325957","0.4411187199902868","194.0319254100905","1169"
"large","700","PSO","0","226.70583333333332","3.0744574310016666E10","1.1404457134748076","0.6311999617713114","136.2280423009652","345"
"large","700","ACO","0","385.9035","3.0744574310016666E10","2.2043648460544163","0.400672789095374","231.89204912666457","6196"
"large","700","RR","0","266.79350000000005","3.0744574310016666E10","1.2815838526064747","0.5521183440251229","160.3193318550203","0"
"large","700","IWHOLF","1","278.9296666666667","6.30263765305135E10","1.6176884921491101","0.5073273594060149","167.63575348084507","2476"
"large","700","WHO","1","255.07500000000002","6.30263765305135E10","1.4388174119138122","0.5550517021137573","153.2949201897502","895"
"large","700","WOA","1","350.565","6.30263765305135E10","2.0352022243903485","0.413613826965042","210.67531458043348","1127"
"large","700","PSO","1","236.19849999999997","6.30263765305135E10","1.3887333861657476","0.5852973593538203","141.95441772556674","296"
"large","700","ACO","1","301.99","6.30263765305135E10","1.669339360992073","0.4762494246498228","181.48696719818966","4028"
"large","700","RR","1","296.879","6.30263765305135E10","1.5414022608421636","0.492677211647394","178.40739922838316","0"
"large","700","IWHOLF","2","276.644","2.6743142487062664E10","1.3697722197809614","0.5441300718010632","166.23723658226862","1781"
"large","700","WHO","2","271.7215","2.6743142487062664E10","1.406677693608639","0.5504598995049466","163.28304992487844","819"
"large","700","WOA","2","338.6960000000001","2.6743142487062664E10","2.0019657242736226","0.419571173953437","203.54986981663234","949"
"large","700","PSO","2","241.2464","2.6743142487062664E10","1.3029041497538112","0.5848567895728185","144.97904249165856","304"
"large","700","ACO","2","294.255","2.6743142487062664E10","1.4913137111765515","0.5132563592802161","176.82226314184675","4277"
"large","700","RR","2","300.462","2.6743142487062664E10","1.4582075258331912","0.5072907930120946","180.54719405908682","0"
