"regime","tasks","algo","repeat","makespanAnalytic","makespanSim","doi","utilization","bestFitness","schedulerMs"
"small","100","IWHOLF","0","38.90866666666666","1.2297829488165333E10","1.5329568196702992","0.6240879495570825","27.425488122783054","181"
"small","100","WHO","0","38.90866666666666","1.2297829488165333E10","1.5329568196702992","0.6240879495570825","27.425488122783054","47"
"small","100","WOA","0","56.12625","1.2297829488165333E10","1.9526038449012473","0.4224801377846075","39.55926115090968","78"
"small","100","PSO","0","33.352","1.2297829488165333E10","0.7818530615911894","0.6963931198528824","23.47657471712369","16"
"small","100","ACO","0","52.7595","1.2297829488165333E10","2.2328000347308934","0.4478681406508148","37.208929559541296","250"
"small","100","RR","0","48.718500000000006","1.2297829488165333E10","1.4601782645221173","0.5206733239597551","34.31975691603818","0"
"small","100","IWHOLF","1","47.867999999999995","1.8446744176068E10","1.790537532641254","0.5343897280020056","33.73680995823146","203"
"small","100","WHO","1","41.015","1.8446744176068E10","1.598988561276758","0.625395343167134","28.902830825113696","62"
"small","100","WOA","1","60.67624999999999","1.8446744176068E10","2.252129495120904","0.41496472397904177","42.76149205756232","63"
"small","100","PSO","1","37.642999999999994","1.8446744176068E10","1.0820155777396572","0.66038776576433","26.50608444915768","31"
"small","100","ACO","1","57.84324999999999","1.8446744176068E10","2.399253966852695","0.4167962265836262","40.785198830367534","485"
"small","100","RR","1","52.6305","1.8446744176068E10","1.5555189872429918","0.5113112802145778","37.06573256529777","16"
"small","100","IWHOLF","2","36.239666666666665","1.47573953600112E10","1.5752363383358268","0.6348253755093407","25.556080870930654","438"
"small","100","WHO","2","39.129","1.47573953600112E10","1.5061747331383968","0.5853827936653974","27.589993898557296","121"
"small","100","WOA","2","39.865","1.47573953600112E10","1.7184477207881184","0.5594144404030268","28.1235980539185","801"
"small","100","PSO","2","31.4034","1.47573953600112E10","1.1825011284465603","0.6941297492203603","22.133266131656217","471"
"small","100","ACO","2","44.076800000000006","1.47573953600112E10","2.0479257786736818","0.48829894638449245","31.109666605018337","1335"
"small","100","RR","2","56.8515","1.47573953600112E10","1.8642279280042404","0.4286329443081243","40.06067151310778","0"
"small","100","IWHOLF","3","36.19520000000001","7.3786977318304E9","1.3548278870126762","0.6143161708366487","25.52008654309964","179"
"small","100","WHO","3","35.3678","7.3786977318304E9","1.4057733639524463","0.6336406514777095","24.937656472754313","47"
"small","100","WOA","3","52.26749999999999","7.3786977318304E9","2.2116530181900265","0.4521504918607804","36.86218750335126","47"
"small","100","PSO","3","31.981399999999997","7.3786977318304E9","1.2377177890885172","0.6874668036212718","22.542625848368044","15"
"small","100","ACO","3","52.33","7.3786977318304E9","2.149672616184711","0.4651871138289064","36.898927496660555","204"
"small","100","RR","3","41.720499999999994","7.3786977318304E9","1.3265036975169886","0.5640178489391706","29.401469830194095","0"
"small","100","IWHOLF","4","43.546","1.8446744187266E10","1.5854438032417522","0.5863927417749814","30.685554367629592","231"
"small","100","WHO","4","39.882666666666665","1.8446744187266E10","1.5354435608384762","0.6512776017986094","28.099255564169006","36"
"small","100","WOA","4","50.816","1.8446744187266E10","1.9007559442602833","0.507114622691016","35.81410341040571","63"
"small","100","PSO","4","37.7575","1.8446744187266E10","1.1842789799874842","0.6486957778807744","26.59485521563514","15"
"small","100","ACO","4","58.450500000000005","1.8446744187266E10","2.3936404649683616","0.4177736859964128","41.2096999174495","156"
"small","100","RR","4","46.058499999999995","1.8446744187266E10","1.1952639470843889","0.5694809137654651","32.42986892322458","0"
"small","100","IWHOLF","5","39.715","9.223372134429E9","1.629924731322172","0.6135252633345922","27.997938657565733","156"
"small","100","WHO","5","41.29566666666666","9.223372134429E9","1.6963283713374493","0.5895085037170971","29.114930534118407","46"
"small","100","WOA","5","43.6938","9.223372134429E9","1.8475493456142602","0.5124111429996931","30.824314124380805","63"
"small","100","PSO","5","31.032","9.223372134429E9","1.0135053769067899","0.7225184755521181","21.856319726179702","32"
"small","100","ACO","5","46.4595","9.223372134429E9","2.041618454859192","0.48980748465509394","32.776788677346424","156"
"small","100","RR","5","57.5275","9.223372134429E9","1.816618381725518","0.4173798907768748","40.53486695185321","0"
"small","100","IWHOLF","6","51.193","105.477","1.9727854618231455","0.49006460844256056","36.086719890558385","156"
"small","100","WHO","6","42.95875000000001","105.477","1.8447668283866747","0.5420739275079776","30.300741163166947","46"
"small","100","WOA","6","76.91050000000001","105.477","2.7068585821466034","0.3554636449726196","54.16605383561555","47"
"small","100","PSO","6","36.665333333333336","105.477","1.0553746696316944","0.6632302083712133","25.81953300430356","16"
"small","100","ACO","6","53.91","105.477","2.19592094073617","0.45538980090273923","38.01017910676598","172"
"small","100","RR","6","59.8495","105.477","1.7957332298917088","0.45256173123139426","42.14866814212517","0"
"small","100","IWHOLF","7","46.77875","1.8446744195882E10","1.8698688282078728","0.5347968717989828","32.9781793798707","141"
"small","100","WHO","7","42.554750000000006","1.8446744195882E10","1.7474650127669453","0.5722575231515479","30.004020993692883","47"
"small","100","WOA","7","48.630500000000005","1.8446744195882E10","1.8819191230295722","0.5057083003464903","34.28373346604753","62"
"small","100","PSO","7","36.261","1.8446744195882E10","1.1240428052895646","0.6434420359798866","25.54586952947051","16"
"small","100","ACO","7","54.857800000000005","1.8446744195882E10","2.1903091370417513","0.45655655774262427","38.6730084895293","219"
"small","100","RR","7","49.408","1.8446744195882E10","1.3819346927378857","0.5624981109671847","34.78594730134674","0"
"small","100","IWHOLF","8","53.4155","1.8446744219592E10","1.9952552975574271","0.501188996327533","37.640256065979614","125"
"small","100","WHO","8","46.1532","1.8446744219592E10","1.9028573142526195","0.5255254781900279","32.54472522225562","47"
"small","100","WOA","8","77.964","1.8446744219592E10","2.3450583872675352","0.39670566971080684","54.873041218450126","47"
"small","100","PSO","8","43.016666666666666","1.8446744219592E10","1.3210024293901772","0.6661290972491282","30.277878058961434","15"
"small","100","ACO","8","73.97","1.8446744219592E10","2.430997935004683","0.4113537019512415","52.077143786164854","157"
"small","100","RR","8","60.173","1.8446744219592E10","1.4626238810071657","0.5088008464482964","42.34159094011587","0"
"small","100","IWHOLF","9","45.273","6.14891480177E9","1.739859944214417","0.5747589070748571","31.905665325088265","125"
"small","100","WHO","9","42.655","6.14891480177E9","1.6756433586943011","0.5967857031219475","30.06324645699813","47"
"small","100","WOA","9","69.23","6.14891480177E9","2.048221966336277","0.4280954306899705","48.73498246910982","63"
"small","100","PSO","9","38.038666666666664","6.14891480177E9","1.1645397769193402","0.7093038662413684","26.77250249564022","15"
"small","100","ACO","9","69.23","6.14891480177E9","2.048221966336277","0.4280954306899705","48.73498246910982","141"
"small","100","RR","9","44.105999999999995","6.14891480177E9","0.9117109687231432","0.6630931165827778","31.02085761346132","0"
