"regime","tasks","algo","repeat","makespanAnalytic","makespanSim","doi","utilization","bestFitness","schedulerMs"
"large","200","IWHOLF","0","71.57825","2.0906310179808E10","1.4893927331928256","0.6714145824092281","50.277820261936874","265"
"large","200","WHO","0","76.383","2.0906310179808E10","1.3511822420418618","0.6461870005978643","53.64180301192273","93"
"large","200","WOA","0","102.42725","2.0906310179808E10","1.6671890510922673","0.46635127208172955","71.94252907093009","94"
"large","200","PSO","0","63.22866666666667","2.0906310179808E10","0.8613044217512597","0.7823567237434498","44.3684248706312","47"
"large","200","ACO","0","103.38550000000002","2.0906310179808E10","1.5140238155587793","0.47589535444203157","72.60278258444534","297"
"large","200","RR","0","102.8805","2.0906310179808E10","1.3944870080200449","0.5052440452758296","72.23450113681824","0"
"large","200","IWHOLF","1","96.20500000000001","5.0728546512676E10","1.7244312234730739","0.5670501533184346","67.55960651517813","235"
"large","200","WHO","1","76.2285","5.0728546512676E10","1.379644137772238","0.6631733537981201","53.52998020074917","78"
"large","200","WOA","1","87.6565","5.0728546512676E10","1.3917897230731007","0.6033938726734471","61.54812132435161","109"
"large","200","PSO","1","75.6855","5.0728546512676E10","1.027171941886677","0.7070886321246033","53.11908200745695","31"
"large","200","ACO","1","115.26600000000002","5.0728546512676E10","1.7558098646430964","0.49631302089659274","80.92509658696318","391"
"large","200","RR","1","90.178","5.0728546512676E10","1.1561549620100715","0.6061879560424938","63.300551361287745","0"
"large","200","IWHOLF","2","74.881","1.6602069878451199E10","1.5221181878091505","0.6569792070084535","52.59571214728792","250"
"large","200","WHO","2","71.89699999999999","1.6602069878451199E10","0.9012552078110968","0.6689489478003254","50.47227807605045","78"
"large","200","WOA","2","100.061","1.6602069878451199E10","1.7787646411518583","0.46046809779367903","70.29349780271949","110"
"large","200","PSO","2","61.90175000000001","1.6602069878451199E10","0.9210143574769168","0.7369230137543231","43.456198813747555","31"
"large","200","ACO","2","92.52275000000002","1.6602069878451199E10","2.0765111310847724","0.48157699953074584","65.02527745669502","328"
"large","200","RR","2","96.15450000000001","1.6602069878451199E10","1.3752478428934516","0.5213357929166081","67.5205116542697","0"
"large","200","IWHOLF","3","61.3","2.45956589381876E10","1.3479384677450563","0.7418736269711801","43.05483483529589","234"
"large","200","WHO","3","67.232","2.45956589381876E10","1.039329387812801","0.6804091305727432","47.210243730218814","78"
"large","200","WOA","3","115.0835","2.45956589381876E10","2.0338754174516387","0.41118276439860335","80.836788941553","94"
"large","200","PSO","3","60.21660000000001","2.45956589381876E10","0.8843130114340684","0.7366578180546006","42.27483830515532","31"
"large","200","ACO","3","106.61566666666668","2.45956589381876E10","2.1326896108703446","0.4688914856165604","74.89693370152523","328"
"large","200","RR","3","86.835","2.45956589381876E10","1.2527026599364446","0.5494765551524924","60.982292166451074","0"
"large","200","IWHOLF","4","76.00999999999999","2.67477791452764E10","1.4616311487616078","0.6841671380958645","53.374831416009314","250"
"large","200","WHO","4","78.9585","2.67477791452764E10","1.4895964914079","0.6713227412712583","55.444033002189016","78"
"large","200","WOA","4","100.41899999999998","2.67477791452764E10","1.6945969739922004","0.5018856657272696","70.52746414898142","94"
"large","200","PSO","4","69.03099999999999","2.67477791452764E10","0.8104166381275828","0.7182091499954127","48.44675808690775","31"
"large","200","ACO","4","124.51950000000002","2.67477791452764E10","2.41501219656847","0.4140765837211573","87.46017763471208","312"
"large","200","RR","4","94.28500000000001","2.67477791452764E10","1.19949659640463","0.578003164165385","66.18607388057062","0"
"large","200","IWHOLF","5","73.79675","8.296398353368667E9","1.1592441833318512","0.6544332236853249","51.81935724206099","250"
"large","200","WHO","5","68.74033333333333","8.296398353368667E9","0.7795110075725581","0.7031509642567928","48.246263594434915","125"
"large","200","WOA","5","74.13033333333334","8.296398353368667E9","1.207483898816342","0.6605496737727695","52.05344262614232","125"
"large","200","PSO","5","62.81875","8.296398353368667E9","0.7840114471709749","0.7394644778297349","44.09048622900962","31"
