"regime","tasks","algo","repeat","makespanAnalytic","makespanSim","doi","utilization","bestFitness","schedulerMs"
"large","800","IWHOLF","0","556.798","6.785766727017771E10","1.8940873669852785","0.48619726580210715","223.122186008868","10860"
"large","800","WHO","0","550.7926666666667","6.785766727017771E10","1.6271806611782857","0.5086819223258718","220.6932165463301","4417"
"large","800","WOA","0","688.3886666666668","6.785766727017771E10","2.201061157087967","0.4142242938636528","275.81698514820295","4876"
"large","800","PSO","0","483.52400000000006","6.785766727017771E10","1.4662997832104832","0.5623248484749743","193.74552008007558","1405"
"large","800","ACO","0","684.2499999999999","6.785766727017771E10","2.069136536598852","0.42424136044479893","274.14891201056304","38107"
"large","800","RR","0","566.618","6.785766727017771E10","1.4303767784485082","0.5119187620867224","227.01156758167042","0"
"large","800","IWHOLF","1","558.9426666666666","7.224974919394986E10","1.813886261145674","0.49468050785927553","223.97095267500833","10724"
"large","800","WHO","1","525.3493333333333","7.224974919394986E10","1.5951160490472704","0.5290563315097415","210.50205533687983","4857"
"large","800","WOA","1","717.5293333333333","7.224974919394986E10","2.233755314136705","0.40499981887014186","287.4804212077181","4909"
"large","800","PSO","1","479.4808","7.224974919394986E10","1.575664218667921","0.5787092941075482","192.1238776344689","1390"
"large","800","ACO","1","857.4306666666669","7.224974919394986E10","2.4792636767917258","0.3483528853660788","343.4872181192867","38189"
"large","800","RR","1","567.8433333333334","7.224974919394986E10","1.4124009235934452","0.5182652108221381","227.49699425301972","0"
"large","800","IWHOLF","2","566.9213333333335","3.5356261001395996E10","1.8063643463928256","0.4946623011055918","227.16205416998966","14372"
"large","800","WHO","2","550.648","3.5356261001395996E10","1.5772949581239932","0.5056547483153304","220.63467189891702","4360"
"large","800","WOA","2","883.9786666666666","3.5356261001395996E10","2.837631842315813","0.327269952546951","354.13698628725433","4892"
"large","800","PSO","2","461.8456666666666","3.5356261001395996E10","1.5146543177962406","0.5850200772372748","185.0629873362141","1438"
"large","800","ACO","2","681.7346666666667","3.5356261001395996E10","1.981950624574364","0.4162020524852388","273.1432429664043","38616"
"large","800","RR","2","591.4993333333333","3.5356261001395996E10","1.4755834849145124","0.48800050332142225","236.9807122055862","1"
